Time of Day,Process Name,PID,Operation,Path,Result,Detail
10:09:40.7765152 PM,helpwire.exe,11772,RegOpenKey,HKLM\System\CurrentControlSet\Control\Session Manager,SUCCESS,Desired Access: Query Value
10:09:40.7765336 PM,helpwire.exe,11772,RegQueryValue,HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock,NAME NOT FOUND,Length: 80
10:09:40.7765650 PM,helpwire.exe,11772,RegCloseKey,HKLM\System\CurrentControlSet\Control\Session Manager,SUCCESS,
10:09:40.7765900 PM,helpwire.exe,11772,RegOpenKey,HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap,REPARSE,Desired Access: Query Value
10:09:40.7766071 PM,helpwire.exe,11772,RegOpenKey,HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap,NAME NOT FOUND,Desired Access: Query Value
10:09:40.7766356 PM,helpwire.exe,11772,RegOpenKey,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options,SUCCESS,"Desired Access: Query Value, Enumerate Sub Keys"
10:09:40.7766572 PM,helpwire.exe,11772,RegOpenKey,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\helpwire.exe,NAME NOT FOUND,"Desired Access: Query Value, Enumerate Sub Keys"
10:09:40.7771052 PM,helpwire.exe,11772,CreateFile,C:\Windows,SUCCESS,"Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
10:09:40.7778500 PM,helpwire.exe,11772,Load Image,C:\Windows\System32\wow64.dll,SUCCESS,"Image Base: 0x7ff961900000, Image Size: 0x55000"
10:09:40.7784633 PM,helpwire.exe,11772,Load Image,C:\Windows\System32\wow64base.dll,SUCCESS,"Image Base: 0x7ff95f9d0000, Image Size: 0xb000"
10:09:40.7791760 PM,helpwire.exe,11772,Load Image,C:\Windows\System32\wow64win.dll,SUCCESS,"Image Base: 0x7ff9617b0000, Image Size: 0x89000"
10:09:40.7799556 PM,helpwire.exe,11772,Load Image,C:\Windows\System32\wow64con.dll,SUCCESS,"Image Base: 0x7ff95f9e0000, Image Size: 0x18000"
10:09:40.7804705 PM,helpwire.exe,11772,CreateFile,C:\Windows,SUCCESS,"Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
10:09:40.7805058 PM,helpwire.exe,11772,QueryNameInformationFile,C:\Windows,SUCCESS,Name: \Windows
10:09:40.7805235 PM,helpwire.exe,11772,CloseFile,C:\Windows,SUCCESS,
10:09:40.7805674 PM,helpwire.exe,11772,RegOpenKey,HKLM\Software\Microsoft\Wow64\x86,SUCCESS,Desired Access: Read
10:09:40.7805905 PM,helpwire.exe,11772,RegQueryValue,HKLM\SOFTWARE\Microsoft\Wow64\x86\helpwire.exe,NAME NOT FOUND,Length: 520
10:09:40.7806038 PM,helpwire.exe,11772,RegQueryValue,HKLM\SOFTWARE\Microsoft\Wow64\x86\(Default),SUCCESS,"Type: REG_SZ, Length: 26, Data: wow64cpu.dll"
10:09:40.7806201 PM,helpwire.exe,11772,RegCloseKey,HKLM\SOFTWARE\Microsoft\Wow64\x86,SUCCESS,
10:09:40.7812613 PM,helpwire.exe,11772,Load Image,C:\Windows\System32\wow64cpu.dll,SUCCESS,"Image Base: 0x77c50000, Image Size: 0xa000"
10:09:40.7814955 PM,helpwire.exe,11772,QueryNameInformationFile,C:\Windows\System32\wow64cpu.dll,SUCCESS,Name: \Windows\System32\wow64cpu.dll
10:09:40.7816640 PM,helpwire.exe,11772,RegOpenKey,HKLM\System\CurrentControlSet\Control\Nls\CodePage,REPARSE,Desired Access: Read
10:09:40.7816860 PM,helpwire.exe,11772,RegOpenKey,HKLM\System\CurrentControlSet\Control\Nls\CodePage,SUCCESS,Desired Access: Read
10:09:40.7817063 PM,helpwire.exe,11772,RegSetInfoKey,HKLM\System\CurrentControlSet\Control\Nls\CodePage,SUCCESS,"KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
10:09:40.7817189 PM,helpwire.exe,11772,RegQueryValue,HKLM\System\CurrentControlSet\Control\Nls\CodePage\ACP,SUCCESS,"Type: REG_SZ, Length: 10, Data: 1252"
10:09:40.7817379 PM,helpwire.exe,11772,RegQueryValue,HKLM\System\CurrentControlSet\Control\Nls\CodePage\OEMCP,SUCCESS,"Type: REG_SZ, Length: 8, Data: 437"
10:09:40.7817519 PM,helpwire.exe,11772,RegCloseKey,HKLM\System\CurrentControlSet\Control\Nls\CodePage,SUCCESS,
10:09:40.7818410 PM,helpwire.exe,11772,RegOpenKey,HKLM\System\CurrentControlSet\Control\Session Manager,REPARSE,Desired Access: Query Value
10:09:40.7818592 PM,helpwire.exe,11772,RegOpenKey,HKLM\System\CurrentControlSet\Control\Session Manager,SUCCESS,Desired Access: Query Value
10:09:40.7818777 PM,helpwire.exe,11772,RegSetInfoKey,HKLM\System\CurrentControlSet\Control\Session Manager,SUCCESS,"KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
10:09:40.7819031 PM,helpwire.exe,11772,RegQueryValue,HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock,NAME NOT FOUND,Length: 80
10:09:40.7819297 PM,helpwire.exe,11772,RegCloseKey,HKLM\System\CurrentControlSet\Control\Session Manager,SUCCESS,
10:09:40.7819569 PM,helpwire.exe,11772,RegOpenKey,HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap,REPARSE,Desired Access: Query Value
10:09:40.7819757 PM,helpwire.exe,11772,RegOpenKey,HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap,NAME NOT FOUND,Desired Access: Query Value
10:09:40.7824580 PM,helpwire.exe,11772,CreateFile,C:\Users\azureadmin\Downloads,SUCCESS,"Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
10:09:40.7831573 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\kernel32.dll,SUCCESS,"Image Base: 0x766b0000, Image Size: 0xf0000"
10:09:40.7843332 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\KernelBase.dll,SUCCESS,"Image Base: 0x76ee0000, Image Size: 0x2cb000"
10:09:40.7855099 PM,helpwire.exe,11772,RegOpenKey,HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys,REPARSE,Desired Access: Read
10:09:40.7855304 PM,helpwire.exe,11772,RegOpenKey,HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys,NAME NOT FOUND,Desired Access: Read
10:09:40.7858884 PM,helpwire.exe,11772,RegOpenKey,HKLM\System\CurrentControlSet\Control\SafeBoot\Option,REPARSE,"Desired Access: Query Value, Set Value"
10:09:40.7859022 PM,helpwire.exe,11772,RegOpenKey,HKLM\System\CurrentControlSet\Control\SafeBoot\Option,NAME NOT FOUND,"Desired Access: Query Value, Set Value"
10:09:40.7859176 PM,helpwire.exe,11772,RegOpenKey,HKLM\System\CurrentControlSet\Control\Srp\GP\DLL,REPARSE,Desired Access: Read
10:09:40.7859258 PM,helpwire.exe,11772,RegOpenKey,HKLM\System\CurrentControlSet\Control\Srp\GP\DLL,NAME NOT FOUND,Desired Access: Read
10:09:40.7859421 PM,helpwire.exe,11772,RegOpenKey,HKLM\Software\WOW6432Node\Policies\Microsoft\Windows\Safer\CodeIdentifiers,REPARSE,Desired Access: Query Value
10:09:40.7859528 PM,helpwire.exe,11772,RegOpenKey,HKLM\SOFTWARE\Policies\Microsoft\Windows\Safer\CodeIdentifiers,SUCCESS,Desired Access: Query Value
10:09:40.7859682 PM,helpwire.exe,11772,RegSetInfoKey,HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers,SUCCESS,"KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
10:09:40.7859754 PM,helpwire.exe,11772,RegQueryValue,HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled,NAME NOT FOUND,Length: 80
10:09:40.7859858 PM,helpwire.exe,11772,RegCloseKey,HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers,SUCCESS,
10:09:40.7860020 PM,helpwire.exe,11772,RegOpenKey,HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers,NAME NOT FOUND,Desired Access: Query Value
10:09:40.7860442 PM,helpwire.exe,11772,RegOpenKey,HKLM\System\CurrentControlSet\Control\FileSystem\,REPARSE,Desired Access: Read
10:09:40.7860680 PM,helpwire.exe,11772,RegOpenKey,HKLM\System\CurrentControlSet\Control\FileSystem,SUCCESS,Desired Access: Read
10:09:40.7860801 PM,helpwire.exe,11772,RegSetInfoKey,HKLM\System\CurrentControlSet\Control\FileSystem,SUCCESS,"KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
10:09:40.7860873 PM,helpwire.exe,11772,RegQueryValue,HKLM\System\CurrentControlSet\Control\FileSystem\LongPathsEnabled,SUCCESS,"Type: REG_DWORD, Length: 4, Data: 0"
10:09:40.7860967 PM,helpwire.exe,11772,RegCloseKey,HKLM\System\CurrentControlSet\Control\FileSystem,SUCCESS,
10:09:40.7864867 PM,helpwire.exe,11772,Thread Create,,SUCCESS,Thread ID: 500
10:09:40.7866093 PM,helpwire.exe,11772,RegOpenKey,HKLM\System\CurrentControlSet\Control\Session Manager,REPARSE,Desired Access: Query Value
10:09:40.7866319 PM,helpwire.exe,11772,RegOpenKey,HKLM\System\CurrentControlSet\Control\Session Manager,SUCCESS,Desired Access: Query Value
10:09:40.7866518 PM,helpwire.exe,11772,RegSetInfoKey,HKLM\System\CurrentControlSet\Control\Session Manager,SUCCESS,"KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
10:09:40.7866637 PM,helpwire.exe,11772,RegQueryValue,HKLM\System\CurrentControlSet\Control\Session Manager\SafeDllSearchMode,NAME NOT FOUND,Length: 16
10:09:40.7871811 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\crypt32.dll,SUCCESS,"Image Base: 0x76840000, Image Size: 0x107000"
10:09:40.7874066 PM,helpwire.exe,11772,CreateFile,C:\Program Files (x86)\HelpWire\Client\WINMM.dll,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open For Backup, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
10:09:40.7877541 PM,helpwire.exe,11772,CreateFile,C:\Windows\SysWOW64\winmm.dll,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open For Backup, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
10:09:40.7878327 PM,helpwire.exe,11772,QueryBasicInformationFile,C:\Windows\SysWOW64\winmm.dll,SUCCESS,"CreationTime: 10/11/2025 4:18:06 PM, LastAccessTime: 11/11/2025 10:09:38 PM, LastWriteTime: 10/11/2025 4:18:06 PM, ChangeTime: 11/9/2025 7:14:31 PM, FileAttributes: A"
10:09:40.7878482 PM,helpwire.exe,11772,CloseFile,C:\Windows\SysWOW64\winmm.dll,SUCCESS,
10:09:40.7879606 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\ucrtbase.dll,SUCCESS,"Image Base: 0x75d50000, Image Size: 0x110000"
10:09:40.7879708 PM,helpwire.exe,11772,CreateFile,C:\Windows\SysWOW64\winmm.dll,SUCCESS,"Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
10:09:40.7880299 PM,helpwire.exe,11772,CreateFileMapping,C:\Windows\SysWOW64\winmm.dll,FILE LOCKED WITH ONLY READERS,"SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE"
10:09:40.7880578 PM,helpwire.exe,11772,CreateFileMapping,C:\Windows\SysWOW64\winmm.dll,SUCCESS,SyncType: SyncTypeOther
10:09:40.7881499 PM,helpwire.exe,11772,Thread Create,,SUCCESS,Thread ID: 7532
10:09:40.7886057 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\winmm.dll,SUCCESS,"Image Base: 0x74910000, Image Size: 0x33000"
10:09:40.7887323 PM,helpwire.exe,11772,CloseFile,C:\Windows\SysWOW64\winmm.dll,SUCCESS,
10:09:40.7889003 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\Wldap32.dll,SUCCESS,"Image Base: 0x75f00000, Image Size: 0x63000"
10:09:40.7893323 PM,helpwire.exe,11772,CreateFile,C:\Program Files (x86)\HelpWire\Client\ncrypt.dll,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open For Backup, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
10:09:40.7898476 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\user32.dll,SUCCESS,"Image Base: 0x76a60000, Image Size: 0x1ca000"
10:09:40.7899119 PM,helpwire.exe,11772,CreateFile,C:\Windows\SysWOW64\ncrypt.dll,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open For Backup, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
10:09:40.7899552 PM,helpwire.exe,11772,QueryBasicInformationFile,C:\Windows\SysWOW64\ncrypt.dll,SUCCESS,"CreationTime: 10/11/2025 4:18:24 PM, LastAccessTime: 11/11/2025 10:09:40 PM, LastWriteTime: 10/11/2025 4:18:24 PM, ChangeTime: 11/9/2025 4:07:26 PM, FileAttributes: A"
10:09:40.7899691 PM,helpwire.exe,11772,CloseFile,C:\Windows\SysWOW64\ncrypt.dll,SUCCESS,
10:09:40.7902885 PM,helpwire.exe,11772,CreateFile,C:\Windows\SysWOW64\ncrypt.dll,SUCCESS,"Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
10:09:40.7904841 PM,helpwire.exe,11772,CreateFileMapping,C:\Windows\SysWOW64\ncrypt.dll,FILE LOCKED WITH ONLY READERS,"SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE"
10:09:40.7905144 PM,helpwire.exe,11772,CreateFileMapping,C:\Windows\SysWOW64\ncrypt.dll,SUCCESS,SyncType: SyncTypeOther
10:09:40.7910450 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\win32u.dll,SUCCESS,"Image Base: 0x77850000, Image Size: 0x1a000"
10:09:40.7911775 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\ncrypt.dll,SUCCESS,"Image Base: 0x748e0000, Image Size: 0x28000"
10:09:40.7918616 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\sechost.dll,SUCCESS,"Image Base: 0x77a50000, Image Size: 0x83000"
10:09:40.7919044 PM,helpwire.exe,11772,Thread Create,,SUCCESS,Thread ID: 8116
10:09:40.7919094 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\gdi32.dll,SUCCESS,"Image Base: 0x75d20000, Image Size: 0x23000"
10:09:40.7920260 PM,helpwire.exe,11772,CloseFile,C:\Windows\SysWOW64\ncrypt.dll,SUCCESS,
10:09:40.7923823 PM,helpwire.exe,11772,CreateFile,C:\Program Files (x86)\HelpWire\Client\dwmapi.dll,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open For Backup, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
10:09:40.7926083 PM,helpwire.exe,11772,CreateFile,C:\Windows\SysWOW64\dwmapi.dll,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open For Backup, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
10:09:40.7926867 PM,helpwire.exe,11772,QueryBasicInformationFile,C:\Windows\SysWOW64\dwmapi.dll,SUCCESS,"CreationTime: 10/11/2025 4:18:12 PM, LastAccessTime: 11/11/2025 10:09:38 PM, LastWriteTime: 10/11/2025 4:18:12 PM, ChangeTime: 11/9/2025 7:14:19 PM, FileAttributes: A"
10:09:40.7927026 PM,helpwire.exe,11772,CloseFile,C:\Windows\SysWOW64\dwmapi.dll,SUCCESS,
10:09:40.7928181 PM,helpwire.exe,11772,CreateFile,C:\Windows\SysWOW64\dwmapi.dll,SUCCESS,"Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
10:09:40.7928305 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\gdi32full.dll,SUCCESS,"Image Base: 0x75ad0000, Image Size: 0xec000"
10:09:40.7928733 PM,helpwire.exe,11772,CreateFileMapping,C:\Windows\SysWOW64\dwmapi.dll,FILE LOCKED WITH ONLY READERS,"SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE"
10:09:40.7929073 PM,helpwire.exe,11772,CreateFileMapping,C:\Windows\SysWOW64\dwmapi.dll,SUCCESS,SyncType: SyncTypeOther
10:09:40.7935599 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\dwmapi.dll,SUCCESS,"Image Base: 0x748b0000, Image Size: 0x24000"
10:09:40.7936593 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\msvcp_win.dll,SUCCESS,"Image Base: 0x75e70000, Image Size: 0x85000"
10:09:40.7942622 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\combase.dll,SUCCESS,"Image Base: 0x75810000, Image Size: 0x285000"
10:09:40.7945841 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\advapi32.dll,SUCCESS,"Image Base: 0x767b0000, Image Size: 0x7f000"
10:09:40.7952135 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\msvcrt.dll,SUCCESS,"Image Base: 0x76e00000, Image Size: 0xc7000"
10:09:40.7959382 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\rpcrt4.dll,SUCCESS,"Image Base: 0x19a0000, Image Size: 0xbc000"
10:09:40.7965690 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\shell32.dll,SUCCESS,"Image Base: 0x771b0000, Image Size: 0x627000"
10:09:40.7965772 PM,helpwire.exe,11772,CreateFile,C:\Program Files (x86)\HelpWire\Client\MSIMG32.dll,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open For Backup, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
10:09:40.7970246 PM,helpwire.exe,11772,CreateFile,C:\Windows\SysWOW64\msimg32.dll,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open For Backup, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
10:09:40.7970582 PM,helpwire.exe,11772,QueryBasicInformationFile,C:\Windows\SysWOW64\msimg32.dll,SUCCESS,"CreationTime: 10/11/2025 4:18:16 PM, LastAccessTime: 11/11/2025 10:09:38 PM, LastWriteTime: 10/11/2025 4:18:16 PM, ChangeTime: 11/9/2025 7:14:31 PM, FileAttributes: A"
10:09:40.7970699 PM,helpwire.exe,11772,CloseFile,C:\Windows\SysWOW64\msimg32.dll,SUCCESS,
10:09:40.7972049 PM,helpwire.exe,11772,CreateFile,C:\Windows\SysWOW64\msimg32.dll,SUCCESS,"Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
10:09:40.7972550 PM,helpwire.exe,11772,CreateFileMapping,C:\Windows\SysWOW64\msimg32.dll,FILE LOCKED WITH ONLY READERS,"SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE"
10:09:40.7972894 PM,helpwire.exe,11772,CreateFileMapping,C:\Windows\SysWOW64\msimg32.dll,SUCCESS,SyncType: SyncTypeOther
10:09:40.7974839 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\WinTypes.dll,SUCCESS,"Image Base: 0x77b50000, Image Size: 0xfb000"
10:09:40.7976293 PM,helpwire.exe,11772,RegOpenKey,HKLM\Software\WOW6432Node\Microsoft\Windows\CurrentVersion\SideBySide\AssemblyStorageRoots,NAME NOT FOUND,Desired Access: Enumerate Sub Keys
10:09:40.7978523 PM,helpwire.exe,11772,CreateFile,C:\Windows\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.26100.6899_none_85bc35c1f7aab1c7,SUCCESS,"Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
10:09:40.7979204 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\msimg32.dll,SUCCESS,"Image Base: 0x748a0000, Image Size: 0x6000"
10:09:40.7980172 PM,helpwire.exe,11772,CloseFile,C:\Windows\SysWOW64\msimg32.dll,SUCCESS,
10:09:40.7981164 PM,helpwire.exe,11772,CreateFile,C:\Program Files (x86)\HelpWire\Client\WINSPOOL.DRV,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open For Backup, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
10:09:40.7986617 PM,helpwire.exe,11772,CreateFile,C:\Windows\SysWOW64\winspool.drv,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open For Backup, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
10:09:40.7986782 PM,helpwire.exe,11772,Load Image,C:\Windows\SysWOW64\shlwapi.dll,SUCCESS,"Image Base: 0x76950000, Image Size: 0x4f000"
10:09:40.7987133 PM,helpwire.exe,11772,QueryBasicInformationFile,C:\Windows\SysWOW64\winspool.drv,SUCCESS,"CreationTime: 10/11/2025 4:18:27 PM, LastAccessTime: 11/11/2025 10:09:38 PM, LastWriteTime: 10/11/2025 4:18:28 PM, ChangeTime: 11/9/2025 7:14:31 PM, FileAttributes: A"
10:09:40.7987369 PM,helpwire.exe,11772,CloseFile,C:\Windows\SysWOW64\winspool.drv,SUCCESS,
10:09:40.7990094 PM,helpwire.exe,11772,CreateFile,C:\Windows\SysWOW64\winspool.drv,SUCCESS,"Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
